ID,Name,Tags,Dietary,Location,GPS,Description,Duration,Region ID
40,Le Morne,Historical site,,,"57.31662066196576,-20.448925952380087",Le Morne Brabant is a UNESCO World Heritage Site commemorating the fight for freedom of slaves in Mauritius. The monument at the foot of the mountain symbolizes the struggle for liberation and freedom,>1hour,3
41,SOS chidren village ,Volunteering ,,,,Here is their email soschild@soscvmauritius.org,,
42,PAWS ,"Volunteering, animal ",,,,More info here https://www.pawsmauritius.org/volunteer-with-us/,,
43,Ebony Forest ,"Volunterring, conservation, wildlife",,,,https://www.ebonyforest.com/volunteer/,,
44,Reef conservation,"Volunterring, conservation, sea",,,,https://www.reefconservation.mu/support-us/become-a-volunteer/,,
45,Salt of palmar ,"Hotel, Eco-Friendly
",,,,"SALT of Palmar is a small, adults-only boutique hotel on the east coast of Mauritius. Combining sustainability with luxury, SALT features minimalist but elegant decor, its own bakery, and fresh roasted coffee available 24/7. Guests can enjoy a library, craft workshops, a rooftop bar, and a pool bar with locally inspired cocktails. The hotel prioritizes local produce, eliminates single-use plastics, and empowers local communities through job opportunities and cultural experiences.",,12
46,Zilwa attitude,"Hotel, Eco-Friendly
",,,,"Zilwa Attitude, part of the Attitude hotel collection, offers 3* and 4* accommodations with an authentic Mauritian atmosphere. Known for its happy and empowered staff, the hotel creates a positive and welcoming vibe for guests. The Creole-style decor, locally inspired Taba-J street food stalls, and beachfront locations make it a standout choice. The hotel emphasizes sustainability by reducing water and energy consumption, banning single-use plastics, and sourcing local ingredients. Guests receive reusable water bottles, and spa products are cruelty-free and plant-based. The Marine Discovery Centre and the Green Attitude Foundation further support local environmental and sustainable initiatives.",,7
47,"Otentic Eco Tent Experience
","Lodge, Eco-Friendly
",,,,"Located in the village of Deux Frères on the east coast of Mauritius, Otentic Eco Tent Experience offers a unique, outdoorsy stay perfect for disconnecting from the world. Set along the Grand River South East near the GRSE waterfall, the eco tents provide protection from the elements with their canvas and fly-sheet structure. Guests can enjoy a pool with river views, outdoor lounge, dining area, and trips to Iles aux Cerfs, as well as hiking and snorkeling. Built from recycled materials and wood, the eco lodge features zero-impact activities like kayaking, paddleboarding, and biking. Locally sourced produce, a vegetable garden, rainwater harvesting, and solar energy underscore its commitment to sustainability.",,12
48,Lux Le Morne,"Hotel, Luxurious Eco-sonscious",,,,"Lux Le Morne is a luxurious 5-star resort set against the iconic Le Morne Brabant mountain and a stunning turquoise lagoon. Awarded both the Travelife and Green Globe sustainability certifications, the resort is dedicated to social and environmental responsibility. Guests enjoy personalized services, including pre-ordered snacks and drinks, a customizable picnic basket, and pet-friendly accommodations. Unique features like an ocean-view tree house, tree swing, hanging beds, and a hammock in the lagoon enhance the guest experience. The resort strives for carbon neutrality, uses energy-efficient practices, bottles its own water, employs chemical-free cleaning agents, and recycles extensively. Their zero food waste policy supports local children and sustainable practices.",,3
49,Bubble Lodge,"Lodge, Unique Experience, Nature Immersion",,,,"Bubble Lodge at Bois Chéri offers a unique stay in transparent bubbles surrounded by tea plantations. Located near a crater lake, each lodge provides utmost privacy and luxury with dedicated staff and air renewal every 10 minutes. Ideal for a digital detox, the rustic yet elegant decor lets guests stargaze and wake up to the sunrise while enjoying nature without the hassle of mosquitoes. Free activities include hiking, kayaking, stand-up paddling, and tea tasting. Eco-friendly features include lodges made from renewable materials, no carbon footprint, dry ecological toilets, and providing bikes, kayaks, and SUPs for exploring the area sustainably.",,12
